How many countries border San Marino?|1|2|3|4|Geography|1
With how many countries does the US share a land border?|2|3|4|1|Geography|1
How many faces has the clock on Big Ben's tower?|4|2|3|1|Geography|1
How many hours behind Greenwich Mean Time is California?|8|6|10|12|Geography|1
How many fountains are found in the gardens at the Palace of Versailles? |1,400|140 |14|14,000|Geography|1
How many candles were used to light the Hall of Mirrors in the Palace of Versailles?    |3,000|300|33,000|333,000|Geography|1
On a clear day how far can one see from the observation platform of the Empire State Building?|130 km|3 km|30 km|630  km|Geography|1
Peter Minuit of the Dutch West India Company bought Manhattan island from the local indians in 1626 with cloth, trinkets and beads worth the equivalent  of what?|24 dollars|24 cents|240 dollars|2,400 dollars|Geography|1
In which European city is Schiphol airport?|Amsterdam|Budapest|Warsaw|Athens|Geography|1
Where is Dam Square?|Amsterdam|Berlin|Copenhagen|Darmstadt|Geography|1
In which city can one visit the Palace of the Popes?|Avignon|Rome|Nancy|Madrid|Geography|1
The jade green waters of Lake Louise are found in which national park?|Banff, Canada|Kruger, South Africa|Serengeti, Tanzania|Yellowstone, USA|Geography|1
In which county can one find Luton Airport?|Bedfordshire|Hertfordshire|Kent|Essex|Geography|1
With 196 tonnes, the heaviest what ever built is found within the walls of the Kremlin?|bell|gold bar|cannon ball|statue|Geography|1
Since 1981, Mumbai is the official name for which Indian city?|Bombay|Calcutta|Delhi|Bangalore|Geography|1
The name of which capital city is the Latin word for a red dye wood?|Brasilia|Vienna|Berlin|Rome|Geography|1
Where in London can one view the Magna Carta and the Rosetta Stone?|British Museum|Tate Gallery|National Gallery|Tower of London|Geography|1
With 40 tonnes, the largest what ever built is found within the walls of the Kremlin?|cannon|crucifix|chandelier|chalice|Geography|1
Where is the Astronaut Hall of Fame located?|Cape Canaveral|Washington|Houston|New York|Geography|1
In which city can one board the luxurious 'Blue Train'?|Cape Town|Edinburgh|Vancouver|Istanbul|Geography|1
In which city does the National Assembly of Wales sit?|Cardiff|Newport|Swansea|St. Davids|Geography|1
Which London street does one associate with the 1960s fashion scene?|Carnaby|Fleet|Threadneedle|Pall Mall|Geography|1
In which city is the world famous Sears Tower skyscraper located?|Chicago|New York|Boston|Detroit|Geography|1
How many litres of beer are consumed each year at the Oktoberfest in Munich?|circa 6,000,000| circa 60,000,000|circa 600,000|circa 60,000|Geography|1
Which metal was used to construct the outside hull of the Statue of Liberty?|copper|brass|silver|iron|Geography|1
In which city is the world famous Burg Al Arab skyscraper located?|Dubai|Cairo|Tehran|Kuwait City|Geography|1
Which language is Afrikaans derived from?|Dutch|German|Spanish|English|Geography|1
The Royal Mile is a famous street in which capital city?|Edinburgh|Ottawa|London|Dublin|Geography|1
Which European capital has the nickname 'The Athens of the north'?|Edinburgh|Paris|Berlin|Helsinki|Geography|1
Famine in which country triggered the Band Aid Charity?|Ethiopia|Sudan|South Africa|Zimbabwe|Geography|1
Which country's postage stamps bear the inscription "Suomi"?|Finland|Sweden|Denmark|Norway|Geography|1
The Uffizien museum, a feast for the eyes for lovers of Renaissance paintings, is located in which city?|Florence|Rome|Vatican City|Milan|Geography|1
Whose upper house of Parliament is called the Bundesrat?|Germany's|Belgium's|France's|Spain's|Geography|1
